Entry no,corona_GMA,corona_MPC,corona_AcETMAC,corona_MAA,corona_DMA,corona_PEG,corona_CysMA,corona_GluMA,corona_DMAPS,corona_AEMA,corona_QDMAEMA,corona_HPMAm,corona_KSPMA,corona_MAcEPyr,corona_DSDMA,clogp_corona,mon_corona_mw,mon_corona_apol,mon_corona_mv,mon_corona_psa,dp_corona,corona_mw_total,corona_mv_total,core_BzMA,core_DAAM,core_EGEMA,core_GlyMA,core_HBMA,core_HEMA,core_HPMA,core_MEMA,core_PhA,core_TFMA,core_EGDMA,core_cyclic,clogp_core,mon_core_mw,mon_core_apol,mon_core_mv,mon_core_psa,dp_core,core_mw_total,core_mv_total,ratio_mass,ratio_vol,conc,ph,salt,charged,temp,initiator,sphere,worm,vesicle,other,cophases
59,0.913,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,-0.14229,164.16161,24.32963395,1.2867824,63.23998,127,20848.52447,163.4213648,0,0,0,0,0,0,1,0,0,0,0,0,1.1,144.08,22.727516,1.185,46.53,400,57632,474,0.265652206,0.256378863,10,7,0.3,1,70,ACVA,1,0,0,0,0
60,0.913,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,-0.14229,164.16161,24.32963395,1.2867824,63.23998,127,20848.52447,163.4213648,0,0,0,0,0,0,1,0,0,0,0,0,1.1,144.08,22.727516,1.185,46.53,500,72040,592.5,0.224446718,0.216188313,10,7,0.3,1,70,ACVA,1,0,0,0,0
61,0.913,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,-0.14229,164.16161,24.32963395,1.2867824,63.23998,127,20848.52447,163.4213648,0,0,0,0,0,0,1,0,0,0,0,0,1.1,144.08,22.727516,1.185,46.53,600,86448,711,0.194307547,0.186890864,10,7,0.3,1,70,ACVA,1,0,0,0,0
62,0.913,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,-0.14229,164.16161,24.32963395,1.2867824,63.23998,127,20848.52447,163.4213648,0,0,0,0,0,0,1,0,0,0,0,0,1.1,144.08,22.727516,1.185,46.53,700,100856,829.5,0.171304432,0.164586412,10,7,0.3,1,70,ACVA,1,0,0,0,0
63,0.913,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,-0.14229,164.16161,24.32963395,1.2867824,63.23998,127,20848.52447,163.4213648,0,0,0,0,0,0,1,0,0,0,0,0,1.1,144.08,22.727516,1.185,46.53,900,129672,1066.5,0.138509513,0.132871393,10,7,0.3,1,70,ACVA,1,0,0,0,0
64,0.972,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0.18408,163.70972,24.05033722,1.270174,67.78032,44,7203.22768,55.887656,0,0,0,0,0,0,1,0,0,0,0,0,1.1,144.08,22.727516,1.185,46.53,200,28816,237,0.199982847,0.190816017,10,7,0,0,70,ACVA,0,0,1,0,0
65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.13,193.09,29.632688,1.598,26.3,100,19309,159.8,0,1,0,0,0,0,0,0,0,0,0,0,0.69,169.11,28.545895,1.4649,46.17,100,16911,146.49,0.533103258,0.521727774,20,7,0,0,56,AIBA,1,0,0,0,0
66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.13,193.09,29.632688,1.598,26.3,100,19309,159.8,0,1,0,0,0,0,0,0,0,0,0,0,0.69,169.11,28.545895,1.4649,46.17,300,50733,439.47,0.275677451,0.266657767,20,7,0,0,56,AIBA,1,0,0,0,0
67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.13,193.09,29.632688,1.598,26.3,100,19309,159.8,0,1,0,0,0,0,0,0,0,0,0,0,0.69,169.11,28.545895,1.4649,46.17,500,84555,732.45,0.18590657,0.179097786,20,7,0,0,56,AIBA,1,0,0,0,0
68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.13,193.09,29.632688,1.598,26.3,100,19309,159.8,0,1,0,0,0,0,0,0,0,0,0,0,0.69,169.11,28.545895,1.4649,46.17,700,118377,1025.43,0.140239385,0.134826152,20,7,0,0,56,AIBA,1,0,0,0,0
69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.13,193.09,29.632688,1.598,26.3,100,19309,159.8,0,1,0,0,0,0,0,0,0,0,0,0,0.69,169.11,28.545895,1.4649,46.17,1000,169110,1464.9,0.102479049,0.09835662,20,7,0,0,56,AIBA,1,0,0,0,0
70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.13,193.09,29.632688,1.598,26.3,100,19309,159.8,0,1,0,0,0,0,0,0,0,0,0,0,0.69,169.11,28.545895,1.4649,46.17,1500,253665,2197.35,0.070735674,0.067793734,20,7,0,0,56,AIBA,1,0,0,0,0
